Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=64, valid_batch_size=64)
Using GPU : 0 from 1 devices
Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=96, valid_batch_size=96)
Using GPU : 0 from 1 devices
Valid 1 epoch, Acc: 0.825750, MPJPE2D: 10.109879, MPJPE3D: 115.262460
Valid 2 epoch, Acc: 0.833310, MPJPE2D: 10.237781, MPJPE3D: 118.443178
Valid 3 epoch, Acc: 0.894823, MPJPE2D: 8.071344, MPJPE3D: 90.508066
Valid 4 epoch, Acc: 0.902709, MPJPE2D: 7.717902, MPJPE3D: 87.268755
Valid 5 epoch, Acc: 0.918571, MPJPE2D: 7.242851, MPJPE3D: 83.309500
Valid 6 epoch, Acc: 0.911132, MPJPE2D: 7.591520, MPJPE3D: 85.932589
Valid 7 epoch, Acc: 0.914229, MPJPE2D: 7.560802, MPJPE3D: 84.747878
Valid 8 epoch, Acc: 0.922793, MPJPE2D: 7.040233, MPJPE3D: 79.968884
Valid 9 epoch, Acc: 0.923584, MPJPE2D: 7.063468, MPJPE3D: 81.810648
Valid 10 epoch, Acc: 0.926158, MPJPE2D: 6.934738, MPJPE3D: 79.031042
Valid 11 epoch, Acc: 0.921735, MPJPE2D: 7.261991, MPJPE3D: 81.792062
Valid 12 epoch, Acc: 0.922790, MPJPE2D: 7.300259, MPJPE3D: 83.460567
Valid 13 epoch, Acc: 0.929413, MPJPE2D: 6.998003, MPJPE3D: 79.477827
Valid 14 epoch, Acc: 0.929841, MPJPE2D: 6.974893, MPJPE3D: 79.346054
Valid 15 epoch, Acc: 0.924746, MPJPE2D: 7.080388, MPJPE3D: 82.384064
Valid 16 epoch, Acc: 0.928108, MPJPE2D: 7.151007, MPJPE3D: 83.005892
Valid 17 epoch, Acc: 0.922956, MPJPE2D: 7.362936, MPJPE3D: 82.127884
Valid 18 epoch, Acc: 0.929446, MPJPE2D: 7.003530, MPJPE3D: 79.238233
Valid 19 epoch, Acc: 0.932148, MPJPE2D: 6.894274, MPJPE3D: 78.317660
Valid 20 epoch, Acc: 0.932250, MPJPE2D: 6.887450, MPJPE3D: 80.084951
Valid 21 epoch, Acc: 0.936582, MPJPE2D: 6.666535, MPJPE3D: 75.596465
Valid 22 epoch, Acc: 0.930705, MPJPE2D: 6.934621, MPJPE3D: 79.881531
Valid 23 epoch, Acc: 0.928040, MPJPE2D: 7.320128, MPJPE3D: 82.358834
Valid 24 epoch, Acc: 0.934133, MPJPE2D: 6.823769, MPJPE3D: 76.976601
Valid 25 epoch, Acc: 0.934597, MPJPE2D: 6.799548, MPJPE3D: 79.710698
Valid 26 epoch, Acc: 0.932490, MPJPE2D: 6.988307, MPJPE3D: 79.812489
Valid 27 epoch, Acc: 0.935705, MPJPE2D: 6.778106, MPJPE3D: 77.249423
Valid 28 epoch, Acc: 0.938398, MPJPE2D: 6.575988, MPJPE3D: 76.174481
Valid 29 epoch, Acc: 0.937694, MPJPE2D: 6.655861, MPJPE3D: 75.363501
Valid 30 epoch, Acc: 0.938233, MPJPE2D: 6.597669, MPJPE3D: 75.440984
Valid 31 epoch, Acc: 0.939781, MPJPE2D: 6.549032, MPJPE3D: 74.350757
Valid 32 epoch, Acc: 0.940331, MPJPE2D: 6.520626, MPJPE3D: 75.332791
Valid 33 epoch, Acc: 0.936686, MPJPE2D: 6.677352, MPJPE3D: 77.021831
Valid 34 epoch, Acc: 0.933090, MPJPE2D: 6.916029, MPJPE3D: 80.460062
Valid 35 epoch, Acc: 0.935012, MPJPE2D: 6.767982, MPJPE3D: 76.679188
Valid 36 epoch, Acc: 0.941270, MPJPE2D: 6.430086, MPJPE3D: 73.929220
